name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"ExtraTrees(n=300,depth=None,criterion=entropy)",0.8561,0.0258,0.9656,0.9258,0.8666,4.44,ok
"RandomForest(n=200,depth=15,criterion=gini)",0.8544,0.0263,0.9663,0.9277,0.8712,3.63,ok
"ExtraTrees(n=200,depth=None,criterion=entropy)",0.8543,0.0266,0.9642,0.9245,0.8642,2.72,ok
"LightGBM(n=200,depth=-1,lr=0.05)",0.8528,0.0298,0.9647,0.9314,0.8797,1.33,ok
"RandomForest(n=300,depth=10,criterion=entropy)",0.8525,0.0241,0.964,0.9305,0.8759,5.05,ok
"ExtraTrees(n=50,depth=None,criterion=entropy)",0.8525,0.0288,0.9632,0.9222,0.8603,0.84,ok
"RandomForest(n=300,depth=None,criterion=gini)",0.852,0.0278,0.9645,0.9276,0.8712,5.2,ok
"ExtraTrees(n=100,depth=None,criterion=entropy)",0.8519,0.0258,0.9637,0.9248,0.865,1.48,ok
"RandomForest(n=300,depth=15,criterion=gini)",0.8517,0.0278,0.965,0.9262,0.8689,5.06,ok
"RandomForest(n=200,depth=None,criterion=gini)",0.8514,0.0261,0.9645,0.9272,0.8704,3.38,ok
"ExtraTrees(n=300,depth=15,criterion=entropy)",0.8514,0.0242,0.9652,0.9237,0.8627,4.16,ok
"RandomForest(n=50,depth=15,criterion=gini)",0.8511,0.0205,0.9657,0.9287,0.8735,1.15,ok
"RandomForest(n=300,depth=None,criterion=entropy)",0.851,0.0266,0.9648,0.9287,0.8728,5.08,ok
"RandomForest(n=300,depth=15,criterion=entropy)",0.8502,0.0262,0.9649,0.9291,0.8735,5.13,ok
"ExtraTrees(n=300,depth=10,criterion=entropy)",0.85,0.0232,0.9647,0.9226,0.8596,4.01,ok
"LightGBM(n=100,depth=-1,lr=0.1)",0.8493,0.0295,0.9624,0.9299,0.8774,0.74,ok
"CatBoost(iter=300,depth=8,lr=0.1)",0.8493,0.0221,0.9639,0.9269,0.8704,12.23,ok
"LightGBM(n=100,depth=-1,lr=0.05)",0.8491,0.0316,0.9632,0.9316,0.8805,0.73,ok
"RandomForest(n=200,depth=None,criterion=entropy)",0.849,0.0256,0.9634,0.9277,0.8712,3.39,ok
"RandomForest(n=200,depth=10,criterion=gini)",0.8488,0.0257,0.965,0.9262,0.8681,3.45,ok
"LightGBM(n=50,depth=-1,lr=0.1)",0.8488,0.0301,0.9618,0.9268,0.872,0.43,ok
"RandomForest(n=200,depth=10,criterion=entropy)",0.8486,0.025,0.9629,0.9297,0.8743,3.57,ok
"ExtraTrees(n=200,depth=15,criterion=entropy)",0.8486,0.0249,0.9638,0.9242,0.8635,3.13,ok
"RandomForest(n=300,depth=5,criterion=entropy)",0.8485,0.0226,0.9635,0.9257,0.8658,5.35,ok
"RandomForest(n=200,depth=15,criterion=entropy)",0.8483,0.0255,0.9637,0.9282,0.872,3.51,ok
"RandomForest(n=300,depth=10,criterion=gini)",0.8481,0.0271,0.9645,0.927,0.8697,5.25,ok
"XGBoost(n=200,depth=6,lr=0.05)",0.848,0.024,0.965,0.93,0.8774,1.96,ok
"RandomForest(n=100,depth=15,criterion=gini)",0.8479,0.0263,0.9641,0.9263,0.8689,1.8,ok
"CatBoost(iter=200,depth=8,lr=0.1)",0.8475,0.0223,0.9639,0.9269,0.8704,8.19,ok
"CatBoost(iter=300,depth=8,lr=0.01)",0.847,0.0194,0.9644,0.9247,0.865,12.32,ok
"LightGBM(n=200,depth=-1,lr=0.1)",0.8466,0.032,0.9611,0.9287,0.8751,1.24,ok
"RandomForest(n=200,depth=5,criterion=entropy)",0.8465,0.0225,0.9629,0.9243,0.8635,3.48,ok
"ExtraTrees(n=300,depth=10,criterion=gini)",0.8463,0.0231,0.9643,0.9251,0.8642,4.18,ok
"ExtraTrees(n=300,depth=15,criterion=gini)",0.8463,0.0257,0.9634,0.9245,0.8642,4.36,ok
"RandomForest(n=200,depth=5,criterion=gini)",0.8459,0.0234,0.9631,0.9255,0.8658,3.53,ok
"ExtraTrees(n=200,depth=10,criterion=entropy)",0.8459,0.0218,0.9634,0.9235,0.8611,2.91,ok
"ExtraTrees(n=200,depth=10,criterion=gini)",0.8458,0.0237,0.964,0.9239,0.8619,2.95,ok
"RandomForest(n=50,depth=None,criterion=gini)",0.8457,0.0227,0.9621,0.9273,0.8712,1.02,ok
"RandomForest(n=100,depth=None,criterion=gini)",0.8454,0.0254,0.9624,0.9262,0.8689,2.0,ok
"XGBoost(n=100,depth=5,lr=0.1)",0.845,0.024,0.9635,0.9295,0.8767,0.86,ok
"CatBoost(iter=200,depth=8,lr=0.01)",0.845,0.0175,0.9635,0.925,0.865,8.34,ok
"XGBoost(n=100,depth=5,lr=0.05)",0.8449,0.0259,0.9637,0.9309,0.8782,0.92,ok
"CatBoost(iter=200,depth=6,lr=0.01)",0.8449,0.0158,0.9636,0.9262,0.8673,3.1,ok
"LightGBM(n=200,depth=3,lr=0.05)",0.8448,0.0211,0.963,0.9278,0.8735,0.39,ok
"LightGBM(n=50,depth=-1,lr=0.05)",0.8447,0.0311,0.9618,0.9291,0.8751,0.41,ok
