strategy,auroc
single:lightgbm_n800_leaves15_lr0.01,0.8891883461226527
single:lightgbm_n500_leaves15_lr0.01,0.8888452180422983
single:xgboost_n100_d3_lr0.2,0.8886518185788259
single:xgboost_n200_d3_lr0.2,0.8871171002557864
single:catboost_n500_d4_lr0.01,0.887004803793125
single:histgbdt_huge_n100_leafnodes5000,0.8864994697111486
single:histgbdt_n100_lr0.1,0.8864994697111486
single:lightgbm_goss_n100_leaves31_lr0.1,0.8852579699295028
single:lightgbm_goss_n100_leaves63_lr0.1,0.8852579699295028
single:lightgbm_dart_n300_leaves15_lr0.1,0.8852142990829122
single:catboost_n800_d4_lr0.01,0.8850957639278807
single:adaboost_n300_lr0.1,0.8831804853702664
single:adaboost_n500_lr0.1,0.88268138998066
single:catboost_plain_n100_d4_lr0.05,0.8808409757314866
single:catboost_plain_n200_d4_lr0.05,0.8805228024206126
baseline:logreg_C1_None_lbfgs,0.80865930500967
simple_average_top3,0.8917961195333458
simple_average_top5,0.8930189032378812
simple_average_top10,0.8915964813775034
simple_average_top15,0.8924948530787946
auroc_weighted_top5,0.8919957576891884
auroc_weighted_top10,0.8926695364651569
auroc_weighted_top15,0.8929066067752199
stacking_logreg_all15,0.8882525422671408
paired_bootstrap_p_combo_vs_best_single,0.129
paired_bootstrap_p_combo_vs_baseline,0.0
