dataset,model,clinician_pre_test_probability,post_test_prob_if_positive,post_test_prob_if_negative
multiml,single best (hybrid DNN+ConvNet+GBDT),0.05,0.3195933341069151,0.027849749957281164
multiml,single best (hybrid DNN+ConvNet+GBDT),0.1,0.49789328772266506,0.05702919564430601
multiml,single best (hybrid DNN+ConvNet+GBDT),0.2,0.6905097101421327,0.11977719391762102
multiml,single best (hybrid DNN+ConvNet+GBDT),0.3,0.7927364777599835,0.1891496112408912
multiml,single best (hybrid DNN+ConvNet+GBDT),0.5,0.8992390185096819,0.3524590924700444
multiml,single best (hybrid DNN+ConvNet+GBDT),0.7,0.9541784209143758,0.5594796360567341
multiml,15-model ensemble,0.05,0.39616468766887186,0.033156116950021006
multiml,15-model ensemble,0.1,0.5807232010961483,0.06750919922267835
multiml,15-model ensemble,0.2,0.7570682966312204,0.14007523921326084
multiml,15-model ensemble,0.3,0.8423302659227592,0.21828840926210988
multiml,15-model ensemble,0.5,0.9257363229923893,0.3945154280012515
multiml,15-model ensemble,0.7,0.9667622184997174,0.6032264678230578
lnn,single best (LightGBM),0.05,0.3545747582444833,0.027801037343148535
lnn,single best (LightGBM),0.1,0.5369883589936165,0.05693243359938811
lnn,single best (LightGBM),0.2,0.7229524772497474,0.11958746858075717
lnn,single best (LightGBM),0.3,0.8172985330539152,0.18887357952607667
lnn,single best (LightGBM),0.5,0.9125717932354819,0.3520482111526432
lnn,single best (LightGBM),0.7,0.9605604068707418,0.5590357692906708
lnn,5-model ensemble,0.05,0.37697462900909556,0.026230164253897546
lnn,5-model ensemble,0.1,0.5608974358974362,0.05380661741085768
lnn,5-model ensemble,0.2,0.7418747056052758,0.11343541893976446
lnn,5-model ensemble,0.3,0.8312807881773401,0.17988544608408572
lnn,5-model ensemble,0.5,0.9199766355140188,0.33853581854929254
lnn,5-model ensemble,0.7,0.9640608604407136,0.5442518954046108
