epoch,coral_loss
1,1.567003
2,1.620666
3,1.581295
4,1.579668
5,1.555308
6,1.534045
7,1.502615
8,1.452070
9,1.444383
10,1.437664
11,1.423512
12,1.397050
13,1.376830
14,1.353612
15,1.323615
16,1.304718
17,1.287652
18,1.263996
19,1.220682
20,1.215632
21,1.188969
22,1.141530
23,1.149864
24,1.130297
25,1.121328
26,1.107767
27,1.092892
28,1.076661
29,1.050807
30,1.058839
31,1.047894
32,1.041215
33,1.034761
34,1.028799
35,1.022514
36,1.018910
37,1.007279
38,1.010215
39,1.006828
40,1.004999
41,0.988517
42,1.003451
43,1.003741
44,1.003772
45,1.003431
46,1.002157
47,1.000987
48,1.000452
49,0.999465
50,0.999349
51,0.999842
52,1.000525
53,1.000676
54,1.001656
55,1.003779
56,0.999768
57,0.999134
58,1.000061
59,1.001282
60,1.002429
61,0.999236
62,0.994750
63,0.989173
64,0.991735
65,1.000483
66,1.007315
67,1.008590
68,1.009728
69,1.011321
70,1.011748
71,1.010894
72,1.010559
73,1.010110
74,1.009979
75,1.009962
76,1.009576
77,1.007852
78,1.004642
79,0.987352
80,0.988877
81,0.985728
82,0.983609
83,0.967859
84,0.967802
85,0.975396
86,0.976181
87,0.976529
88,0.977249
89,0.978695
90,0.980776
91,0.982391
92,0.970243
93,0.974876
94,0.969399
95,0.971276
96,0.973068
97,0.973108
98,0.973452
99,0.972027
100,0.969083
101,0.966852
102,0.964496
103,0.962833
104,0.961472
105,0.959437
106,0.958255
107,0.958089
108,0.958384
109,0.960016
110,0.962099
111,0.965148
112,0.965848
113,0.966921
114,0.965306
115,0.963495
116,0.962987
117,0.962666
118,0.962399
119,0.960796
120,0.961022
121,0.962850
122,0.961319
123,0.961799
124,0.962212
125,0.965390
126,0.969161
127,0.953652
128,0.962821
129,0.969267
130,0.973174
131,0.976491
132,0.975113
133,0.972576
134,0.967102
135,0.962602
136,0.956335
137,0.951327
138,0.948567
139,0.948152
140,0.947144
141,0.953097
142,0.953037
143,0.956069
144,0.959023
145,0.964482
146,0.969358
147,0.971845
148,0.966608
149,0.961253
150,0.955743
151,0.951893
152,0.949401
153,0.941897
154,0.946139
155,0.965423
156,0.965948
157,0.966409
158,0.969343
159,0.973967
160,0.980677
161,0.987630
162,0.988653
163,0.982435
164,0.979738
165,0.983178
166,0.994661
167,1.012741
168,1.004968
169,1.000757
170,0.999529
171,0.995768
172,0.996401
173,0.998462
174,0.995717
175,0.991364
176,0.989761
177,0.987468
178,0.985107
179,0.984681
180,0.982121
181,0.981519
182,0.982231
183,0.983322
184,0.985500
185,0.986122
186,0.987668
187,0.990214
188,0.990547
189,0.990379
190,0.991419
191,0.992507
192,0.991622
193,0.987962
194,0.980293
195,0.973858
196,0.970180
197,0.984257
198,0.992699
199,0.995528
200,0.999169
201,1.004119
202,1.008719
203,1.014836
204,1.021196
205,1.030238
206,1.030184
207,1.002440
208,0.991515
209,0.997128
210,1.002915
211,0.997235
212,0.993825
213,0.977428
214,0.989769
215,0.994087
216,0.996085
217,1.003754
218,1.012025
219,1.018713
220,1.024823
221,1.025472
222,1.021878
223,1.019775
224,1.017464
225,1.016758
226,1.014624
227,1.012967
228,1.014612
229,1.019542
230,1.020959
231,1.020652
232,1.019468
233,1.015351
234,1.013597
235,1.011379
236,1.010890
237,1.010507
238,1.011459
239,1.013093
240,1.014245
241,1.015915
242,1.016827
243,1.017237
244,1.016840
245,1.016616
246,1.013624
247,1.013295
248,1.015403
249,1.018813
250,1.026042
251,1.033119
252,1.039055
253,1.046709
254,1.047998
255,1.051754
256,1.054506
257,1.046768
258,1.033925
259,1.033745
260,1.040586
261,1.042198
262,1.047081
263,1.043352
264,1.040579
265,1.039551
266,1.035773
267,1.033703
268,1.032985
269,1.032636
270,1.013510
271,1.026587
272,1.029451
273,1.028928
274,1.028912
275,1.026163
276,1.022444
277,1.018696
278,1.016089
279,1.012577
280,1.013118
281,1.016189
282,1.017978
283,1.021111
284,1.022943
285,1.024971
286,1.031073
287,1.023670
288,1.021501
289,1.022964
290,1.025025
291,1.026472
292,1.027566
293,1.030716
294,1.033089
295,1.038264
296,1.042271
297,1.043271
298,1.039800
299,1.042307
300,1.040299
301,1.038147
302,1.037351
303,1.036587
304,1.037323
305,1.037415
306,1.031671
307,1.024917
308,1.020121
309,1.019774
310,1.023498
311,1.027657
312,1.023406
313,1.022282
314,1.021758
315,1.022978
316,1.027359
