,ACINETOBACTER BAUMANNII COMPLEX,ENTEROCOCCUS SP.,ESCHERICHIA COLI,GRAM NEGATIVE ROD(S),KLEBSIELLA PNEUMONIAE,OTHER,POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,PROTEUS MIRABILIS,PSEUDOMONAS AERUGINOSA,STAPH AUREUS COAG +,"STAPHYLOCOCCUS, COAGULASE NEGATIVE",YEAST
ACINETOBACTER BAUMANNII COMPLEX,1,0,0,1,0,0,3,0,0,0,0,0
ENTEROCOCCUS SP.,3,0,0,0,0,0,0,0,2,0,0,0
ESCHERICHIA COLI,4,0,0,2,0,0,0,1,3,0,0,0
GRAM NEGATIVE ROD(S),1,0,0,1,0,0,2,1,0,0,0,0
KLEBSIELLA PNEUMONIAE,3,0,0,0,0,0,1,0,1,0,0,0
OTHER,6,0,0,3,0,0,1,1,10,0,0,1
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,0,0,0,0,0,0,0,0,14,0,0,0
PROTEUS MIRABILIS,3,0,0,2,0,0,2,0,1,0,0,0
PSEUDOMONAS AERUGINOSA,1,0,0,1,0,0,3,0,1,0,1,0
STAPH AUREUS COAG +,6,0,0,4,0,0,5,1,5,0,0,0
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",0,0,0,1,0,0,0,1,11,0,0,0
YEAST,24,0,0,5,0,0,8,1,0,0,0,0
