,ACINETOBACTER BAUMANNII COMPLEX,ENTEROCOCCUS SP.,ESCHERICHIA COLI,GRAM NEGATIVE ROD(S),KLEBSIELLA PNEUMONIAE,OTHER,POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,PROTEUS MIRABILIS,PSEUDOMONAS AERUGINOSA,STAPH AUREUS COAG +,"STAPHYLOCOCCUS, COAGULASE NEGATIVE",YEAST
ACINETOBACTER BAUMANNII COMPLEX,0,0,0,2,0,0,0,0,3,0,0,0
ENTEROCOCCUS SP.,0,0,0,2,0,0,0,0,3,0,0,0
ESCHERICHIA COLI,0,0,0,4,0,0,0,0,6,0,0,0
GRAM NEGATIVE ROD(S),0,0,0,2,0,0,0,0,3,0,0,0
KLEBSIELLA PNEUMONIAE,0,0,0,2,0,0,0,0,3,0,0,0
OTHER,0,0,0,10,0,0,0,0,12,0,0,0
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,0,0,0,6,0,0,0,0,8,0,0,0
PROTEUS MIRABILIS,0,0,0,4,0,0,0,0,4,0,0,0
PSEUDOMONAS AERUGINOSA,0,0,0,2,0,0,0,0,5,0,0,0
STAPH AUREUS COAG +,0,0,0,8,0,0,0,0,13,0,0,0
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",0,0,0,6,0,0,0,0,7,0,0,0
YEAST,0,0,0,14,0,0,0,0,24,0,0,0
