,ACINETOBACTER BAUMANNII COMPLEX,ENTEROCOCCUS SP.,ESCHERICHIA COLI,GRAM NEGATIVE ROD(S),KLEBSIELLA PNEUMONIAE,OTHER,POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,PROTEUS MIRABILIS,PSEUDOMONAS AERUGINOSA,STAPH AUREUS COAG +,"STAPHYLOCOCCUS, COAGULASE NEGATIVE",YEAST
ACINETOBACTER BAUMANNII COMPLEX,2,0,0,0,0,3,0,0,0,0,0,0
ENTEROCOCCUS SP.,5,0,0,0,0,0,0,0,0,0,0,0
ESCHERICHIA COLI,6,0,0,0,2,1,0,1,0,0,0,0
GRAM NEGATIVE ROD(S),2,0,0,0,0,3,0,0,0,0,0,0
KLEBSIELLA PNEUMONIAE,3,0,0,0,0,1,0,1,0,0,0,0
OTHER,7,1,0,0,5,4,0,5,0,0,0,0
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,0,0,6,0,0,0,8,0,0,0,0,0
PROTEUS MIRABILIS,3,0,0,0,1,4,0,0,0,0,0,0
PSEUDOMONAS AERUGINOSA,3,0,0,1,0,3,0,0,0,0,0,0
STAPH AUREUS COAG +,11,0,0,0,1,6,2,0,0,0,1,0
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",3,0,0,0,4,1,0,5,0,0,0,0
YEAST,26,1,0,0,0,10,0,1,0,0,0,0
