task,model,n,n_classes,folds,majority_baseline,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_auc_ovr,average_precision,top3_accuracy,stage1_high_risk_recall,stage1_high_risk_precision,stage1_lower_risk_specificity,stage2_subtype_accuracy_on_flagged_true_high_risk,stage2_subtype_macro_f1_on_flagged_true_high_risk,true_high_risk_flagged_n,true_high_risk_total_n
label_mrsa_binary,DummyMostFreq,57,2,5,0.8771929824561403,0.8771929824561403,0.5,0.4672897196261682,0.8198065256599443,0.43859649122807015,0.5,0.5,0.12280701754385964,,,,,,,,
label_mrsa_binary,LogRegBalanced,57,2,5,0.8771929824561403,0.7543859649122807,0.49142857142857144,0.49107142857142855,0.7672305764411027,0.4930555555555556,0.49142857142857144,0.3542857142857143,0.14325084548869715,,,,,,,,
label_mrsa_binary,RandomForestBalanced,57,2,5,0.8771929824561403,0.8771929824561403,0.5,0.4672897196261682,0.8198065256599443,0.43859649122807015,0.5,0.4628571428571428,0.18889442395099137,,,,,,,,
label_mrsa_binary,ExtraTreesBalanced,57,2,5,0.8771929824561403,0.8070175438596491,0.46,0.44660194174757284,0.7835121785045138,0.4339622641509434,0.46,0.37142857142857144,0.11624552583805554,,,,,,,,
label_fungal_binary,DummyMostFreq,57,2,5,0.8070175438596491,0.8070175438596491,0.5,0.44660194174757284,0.7208312042241526,0.40350877192982454,0.5,0.5,0.19298245614035087,,,,,,,,
label_fungal_binary,LogRegBalanced,57,2,5,0.8070175438596491,0.7368421052631579,0.5602766798418972,0.5622119815668203,0.7319912684938154,0.5648936170212766,0.5602766798418972,0.4733201581027668,0.21308489207098608,,,,,,,,
label_fungal_binary,RandomForestBalanced,57,2,5,0.8070175438596491,0.7368421052631579,0.49110671936758893,0.48150394178289874,0.7049248348281255,0.4852941176470588,0.49110671936758893,0.591897233201581,0.24106492658984707,,,,,,,,
label_fungal_binary,ExtraTreesBalanced,57,2,5,0.8070175438596491,0.7543859649122807,0.5365612648221344,0.5381944444444444,0.7322124756335282,0.5528571428571428,0.5365612648221344,0.6274703557312252,0.2646914340258293,,,,,,,,
label_high_risk_gram_negative_binary,DummyMostFreq,57,2,5,0.7192982456140351,0.7192982456140351,0.5,0.41836734693877553,0.6018617973505191,0.35964912280701755,0.5,0.5,0.2807017543859649,,,,,,,,
label_high_risk_gram_negative_binary,LogRegBalanced,57,2,5,0.7192982456140351,0.5614035087719298,0.46646341463414637,0.4668911335578002,0.565341524405852,0.4676470588235294,0.46646341463414637,0.3978658536585366,0.31262626627770174,,,,,,,,
label_high_risk_gram_negative_binary,RandomForestBalanced,57,2,5,0.7192982456140351,0.6491228070175439,0.47027439024390244,0.43675889328063244,0.588447403092712,0.4362745098039216,0.47027439024390244,0.4527439024390244,0.26574544027521346,,,,,,,,
label_high_risk_gram_negative_binary,ExtraTreesBalanced,57,2,5,0.7192982456140351,0.631578947368421,0.4961890243902439,0.4904214559386973,0.6080526987968004,0.4950592885375494,0.4961890243902439,0.47103658536585363,0.289876176251624,,,,,,,,
label_high_risk_binary,DummyMostFreq,57,2,5,0.631578947368421,0.631578947368421,0.5,0.3870967741935484,0.48896434634974534,0.3157894736842105,0.5,0.5,0.631578947368421,,,,,,,,
label_high_risk_binary,LogRegBalanced,57,2,5,0.631578947368421,0.49122807017543857,0.46825396825396826,0.4676328502415459,0.4971268751589118,0.4696969696969697,0.46825396825396826,0.5548941798941798,0.7368277673178892,,,,,,,,
label_high_risk_binary,RandomForestBalanced,57,2,5,0.631578947368421,0.5614035087719298,0.49404761904761907,0.484629294755877,0.5369753497668222,0.49252491694352163,0.49404761904761907,0.457010582010582,0.6161128925880475,,,,,,,,
label_high_risk_binary,ExtraTreesBalanced,57,2,5,0.631578947368421,0.543859649122807,0.5,0.49932432432432433,0.538620199146515,0.5,0.5,0.4847883597883597,0.6260951998667088,,,,,,,,
stage2_true_high_risk_pathogen_type,DummyMostFreq,34,3,5,0.47058823529411764,0.3235294117647059,0.24810606060606064,0.21349206349206348,0.2733893557422969,0.19166666666666665,0.24810606060606064,0.4271931269213878,,1.0,,,,,,,
stage2_true_high_risk_pathogen_type,LogRegBalanced,34,3,5,0.47058823529411764,0.3235294117647059,0.3033008658008658,0.29827586206896556,0.324526707234618,0.2980769230769231,0.3033008658008658,0.48152918940962414,,1.0,,,,,,,
stage2_true_high_risk_pathogen_type,RandomForestBalanced,34,3,5,0.47058823529411764,0.4117647058823529,0.4004329004329004,0.3918793195108985,0.4075370578853551,0.3929738562091503,0.4004329004329004,0.49222905382325677,,1.0,,,,,,,
stage2_true_high_risk_pathogen_type,ExtraTreesBalanced,34,3,5,0.47058823529411764,0.38235294117647056,0.36228354978354976,0.3646155830753354,0.3905481697322892,0.37916666666666665,0.36228354978354976,0.5109527817861151,,1.0,,,,,,,
two_stage_cascade_high_risk_then_type,LogRegBalanced->LogRegBalanced,57,5,5,0.3684210526315789,0.2982456140350877,0.2274891774891775,0.22477889260497957,0.291865673101371,0.22380952380952382,0.2274891774891775,,,,0.5555555555555556,0.6060606060606061,0.38095238095238093,0.45,0.32745726495726496,20.0,36.0
two_stage_cascade_high_risk_then_type,LogRegBalanced->RandomForestBalanced,57,5,5,0.3684210526315789,0.19298245614035087,0.13544372294372295,0.1393989523021781,0.18851015047959022,0.16,0.13544372294372295,,,,0.5555555555555556,0.6060606060606061,0.38095238095238093,0.15,0.1341736694677871,20.0,36.0
